Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
AC009065.4	ENSG00000279473.1	4.260	0.000	2.395	9.81e-195
AC009506.1	ENSG00000224152.1	5.575	2.070	1.099	7.77e-135
AC010649.1	ENSG00000267448.5	0.000	10.640	-3.541	5.08e-66
AC010980.2	ENSG00000237732.9	0.580	3.800	-1.603	1.97e-87
AC011322.1	ENSG00000233487.6	0.090	3.510	-2.049	3.98e-128
AC011516.2	ENSG00000268038.1	0.225	5.370	-2.379	4.67e-176
AC011558.5	ENSG00000279753.1	3.490	0.880	1.256	1.25e-24
AC011737.2	ENSG00000204196.5	13.760	3.330	1.769	7.83e-149
AC015936.3	ENSG00000224911.1	9.590	1.300	2.203	1.11e-45
AC016292.3	ENSG00000108958.4	2.190	0.210	1.399	1.07e-127
AC016629.7	ENSG00000269032.1	1.320	0.000	1.214	5.21e-21
AC016700.5	ENSG00000231327.1	5.030	1.360	1.353	1.49e-105
AC016739.2	ENSG00000218175.2	12.660	3.300	1.668	3.76e-77
AC016757.3	ENSG00000186235.10	1.135	4.340	-1.323	5.14e-62
AC018738.2	ENSG00000237039.1	1.670	0.000	1.417	3.51e-33
AC021188.4	ENSG00000230747.1	3.130	0.490	1.471	1.51e-116
AC034228.3	ENSG00000223548.1	2.690	0.650	1.161	5.39e-89
AC053503.11	ENSG00000227432.1	4.145	0.140	2.174	3.29e-77
AC058791.1	ENSG00000226380.7	0.290	2.700	-1.520	2.60e-145
AC062021.1	ENSG00000226939.1	5.495	0.870	1.796	6.34e-31
AC062028.1	ENSG00000145063.14	0.140	2.600	-1.659	2.34e-101
AC067969.2	ENSG00000268055.1	0.155	4.110	-2.145	1.94e-141
AC068535.2	ENSG00000227157.1	3.530	0.370	1.725	1.48e-124
AC068831.15	ENSG00000259661.1	9.575	29.629	-1.534	7.19e-60
AC073283.4	ENSG00000234690.6	4.350	0.530	1.806	4.17e-110
AC079922.2	ENSG00000231747.1	1.025	0.000	1.018	9.69e-84
AC092675.3	ENSG00000222000.7	1.285	0.000	1.192	1.36e-79
AC093620.5	ENSG00000241269.1	2.210	0.250	1.361	3.45e-114
AC093724.2	ENSG00000213222.3	3.430	0.420	1.641	2.77e-102
AC097724.3	ENSG00000226833.5	3.800	0.730	1.472	9.25e-91
AC104655.3	ENSG00000226508.1	2.420	0.440	1.248	2.79e-80
AC110615.1	ENSG00000279909.1	1.015	3.290	-1.090	1.76e-16
AC113188.2	ENSG00000279535.1	1.990	26.270	-3.189	3.40e-175
AC113189.5	ENSG00000233223.2	22.070	9.150	1.185	1.81e-97
AC114730.3	ENSG00000224272.2	10.240	3.370	1.363	3.62e-37
AC131056.3	ENSG00000274767.1	0.320	3.140	-1.649	9.41e-79
AC131097.4	ENSG00000216921.7	0.585	3.660	-1.556	1.27e-54
AC135048.13	ENSG00000261487.1	4.195	1.450	1.084	2.15e-136
AC138430.4	ENSG00000267629.3	0.230	4.390	-2.132	3.55e-167
AC138647.1	ENSG00000226490.1	0.000	1.270	-1.183	1.18e-159
AC139100.4	ENSG00000278000.1	0.830	4.100	-1.479	1.53e-124
AC140542.2	ENSG00000261325.1	0.060	2.360	-1.664	2.45e-109
AC144530.1	ENSG00000234742.1	1.345	0.080	1.119	7.64e-114
AC159540.1	ENSG00000230606.10	11.360	39.021	-1.695	1.60e-51
AC239868.2	ENSG00000280874.1	6.115	1.110	1.754	1.50e-13
AC239868.3	ENSG00000281134.1	6.115	1.110	1.754	1.50e-13
ACAP2	ENSG00000114331.12	12.810	5.470	1.094	3.95e-78
ACBD3	ENSG00000182827.8	17.155	6.850	1.210	1.12e-124
ACBD5	ENSG00000107897.18	40.895	17.390	1.188	3.91e-96
ACER3	ENSG00000078124.11	10.835	4.410	1.129	3.09e-116
ACKR1	ENSG00000213088.9	4.660	11.560	-1.150	2.61e-29
ACKR3	ENSG00000144476.5	28.500	5.590	2.162	1.58e-121
ACLY	ENSG00000131473.16	60.145	19.191	1.599	2.15e-135
ACOT4	ENSG00000177465.4	0.420	2.060	-1.108	1.10e-103
ACOT7	ENSG00000097021.19	43.755	128.827	-1.536	1.00e-41
ACOX1	ENSG00000161533.11	21.575	8.320	1.276	2.77e-159
ACOX3	ENSG00000087008.15	14.655	6.780	1.009	8.04e-143
ACSM5	ENSG00000183549.10	6.525	1.870	1.391	7.41e-57
ACTA1	ENSG00000143632.14	0.300	4.280	-2.022	4.93e-201
ACTB	ENSG00000075624.13	2792.419	1193.265	1.226	2.56e-112
ACTC1	ENSG00000159251.6	0.515	2.140	-1.051	6.60e-14
ACTG1	ENSG00000184009.9	1864.857	688.779	1.436	1.18e-145
ACTL6A	ENSG00000136518.16	22.536	5.130	1.941	8.21e-180
ACTL6B	ENSG00000077080.9	20.095	41.891	-1.024	8.09e-14
ACTR3	ENSG00000115091.11	67.704	25.251	1.388	5.72e-82
ACTR3C	ENSG00000106526.10	0.360	1.740	-1.011	7.75e-68
ACTR8	ENSG00000113812.13	16.105	7.370	1.031	1.12e-136
ACVR1	ENSG00000115170.13	15.480	5.090	1.436	9.05e-158
ACY1	ENSG00000243989.7	22.915	7.940	1.420	6.31e-163
ACY3	ENSG00000132744.7	5.360	1.120	1.585	5.29e-40
ACYP1	ENSG00000119640.8	12.540	28.300	-1.114	1.99e-67
ADAM10	ENSG00000137845.14	29.985	7.190	1.920	1.36e-108
ADAM11	ENSG00000073670.13	2.750	36.420	-3.319	7.02e-130
ADAM17	ENSG00000151694.12	14.215	4.590	1.445	4.25e-100
ADAM28	ENSG00000042980.12	6.820	1.330	1.747	8.61e-73
ADAM33	ENSG00000149451.17	1.000	9.150	-2.343	4.33e-114
ADAM9	ENSG00000168615.11	33.425	9.650	1.693	1.95e-115
ADAMTS12	ENSG00000151388.10	1.510	0.060	1.244	2.11e-98
ADAMTS15	ENSG00000166106.3	1.570	0.230	1.063	2.31e-47
ADAMTS6	ENSG00000049192.14	2.300	0.280	1.366	6.44e-96
ADAMTS8	ENSG00000134917.9	2.835	7.610	-1.167	1.51e-33
ADAMTS9	ENSG00000163638.13	7.585	2.130	1.456	6.23e-27
ADAP1	ENSG00000105963.13	20.365	99.857	-2.239	6.97e-95
ADAP2	ENSG00000184060.10	7.605	1.540	1.760	2.01e-110
ADARB1	ENSG00000197381.15	4.830	13.220	-1.286	3.23e-53
ADCY1	ENSG00000164742.14	3.900	28.570	-2.593	2.43e-80
ADCY4	ENSG00000129467.13	2.590	6.520	-1.067	3.80e-67
ADCY7	ENSG00000121281.12	7.400	2.120	1.429	4.05e-76
ADCY8	ENSG00000155897.9	15.945	4.360	1.661	7.98e-52
ADCYAP1	ENSG00000141433.12	0.330	5.730	-2.339	4.05e-95
ADCYAP1R1	ENSG00000078549.14	161.730	27.639	2.506	2.04e-110
ADGRA3	ENSG00000152990.13	28.010	11.190	1.251	2.06e-110
ADGRB2	ENSG00000121753.12	60.149	133.093	-1.133	2.82e-37
ADGRE5	ENSG00000123146.19	7.110	2.860	1.071	2.63e-46
ADGRG1	ENSG00000205336.11	297.551	56.519	2.376	5.83e-172
ADGRL2	ENSG00000117114.19	5.480	14.710	-1.278	7.42e-35
ADGRL3	ENSG00000150471.15	35.675	11.910	1.506	1.45e-95
ADH5	ENSG00000197894.10	81.970	30.681	1.389	2.27e-146
ADIPOR2	ENSG00000006831.9	50.289	20.870	1.230	5.55e-82
ADIRF-AS1	ENSG00000272734.1	0.390	2.250	-1.225	2.07e-123
ADK	ENSG00000156110.13	27.546	11.170	1.230	6.48e-127
ADNP	ENSG00000101126.15	32.985	13.510	1.228	1.59e-113
ADORA3	ENSG00000121933.17	13.975	3.590	1.706	1.99e-46
ADPRHL1	ENSG00000153531.12	1.920	6.380	-1.338	7.70e-76
ADRA1B	ENSG00000170214.3	1.950	6.030	-1.253	8.03e-35
ADRA2C	ENSG00000184160.7	0.920	3.740	-1.304	1.61e-99
ADRB1	ENSG00000043591.5	1.480	6.330	-1.563	4.16e-94
ADSL	ENSG00000239900.11	34.000	13.000	1.322	1.25e-165
ADTRP	ENSG00000111863.12	0.210	2.140	-1.376	9.73e-82
AEN	ENSG00000181026.14	7.565	3.280	1.001	5.16e-52
AES	ENSG00000104964.14	339.730	732.253	-1.106	3.52e-52
AF127936.5	ENSG00000226751.2	1.355	0.170	1.009	2.90e-75
AF129408.17	ENSG00000272991.1	1.940	5.780	-1.205	1.39e-63
AF131215.2	ENSG00000255310.2	4.780	1.260	1.355	3.90e-97
AFAP1	ENSG00000196526.10	16.200	4.740	1.583	1.40e-113
AFF4	ENSG00000072364.12	19.765	7.900	1.222	2.41e-92
AGA	ENSG00000038002.8	12.690	3.870	1.491	1.07e-121
AGAP2	ENSG00000135439.11	24.715	126.904	-2.314	7.40e-72
AGAP3	ENSG00000133612.18	123.810	317.937	-1.354	2.10e-75
AGBL4	ENSG00000186094.16	0.575	3.810	-1.611	1.35e-66
AGFG2	ENSG00000106351.12	33.759	15.750	1.053	5.94e-75
AGMO	ENSG00000187546.13	1.430	0.090	1.157	8.83e-69
AGPAT5	ENSG00000155189.11	41.186	10.610	1.861	2.80e-188
AGPAT6	ENSG00000158669.11	64.904	27.980	1.185	9.04e-122
AGPS	ENSG00000018510.12	8.365	3.150	1.174	1.37e-146
AGT	ENSG00000135744.7	351.175	91.829	1.924	1.68e-79
AGTRAP	ENSG00000177674.15	32.434	8.940	1.750	6.25e-86
AHCTF1	ENSG00000153207.14	16.620	6.540	1.225	1.95e-98
AHCY	ENSG00000101444.12	68.716	30.130	1.163	4.68e-150
AHI1	ENSG00000135541.20	8.385	28.080	-1.632	4.30e-102
AHNAK	ENSG00000124942.13	39.725	15.310	1.320	5.19e-47
AHNAK2	ENSG00000185567.6	1.340	14.500	-2.728	8.41e-107
AIF1	ENSG00000204472.12	73.284	7.910	3.060	9.16e-139
AIF1L	ENSG00000126878.12	64.596	30.439	1.061	1.06e-28
AIFM3	ENSG00000183773.15	8.275	68.412	-2.904	5.01e-88
AIMP1	ENSG00000164022.16	28.505	11.040	1.293	5.24e-146
AIMP2	ENSG00000106305.9	34.136	8.870	1.832	2.42e-221
AJAP1	ENSG00000196581.10	1.805	5.290	-1.165	1.94e-32
AK2	ENSG00000004455.16	63.964	30.710	1.035	1.22e-87
AK5	ENSG00000154027.18	13.560	74.521	-2.375	6.39e-58
AKAP13	ENSG00000170776.19	22.390	9.560	1.147	4.77e-115
AKAP3	ENSG00000111254.7	2.785	0.650	1.198	5.97e-79
AKAP5	ENSG00000179841.8	1.065	5.010	-1.541	2.53e-56
AKNA	ENSG00000106948.16	14.810	5.360	1.314	2.92e-113
AKR1A1	ENSG00000117448.13	93.808	39.259	1.236	2.49e-145
AKR1C3	ENSG00000196139.11	38.929	9.620	1.911	4.28e-64
AL132709.1	ENSG00000230805.6	0.060	1.270	-1.099	1.08e-136
AL133243.1	ENSG00000276334.1	2.760	0.840	1.031	4.11e-148
AL158801.1	ENSG00000279392.1	2.565	0.220	1.547	5.54e-158
AL162151.3	ENSG00000234648.1	565.036	68.750	3.021	1.96e-22
AL450992.2	ENSG00000234614.1	0.540	2.590	-1.221	7.75e-41
ALCAM	ENSG00000170017.12	67.916	17.090	1.930	1.85e-132
ALDH18A1	ENSG00000059573.8	23.811	9.170	1.287	2.10e-131
ALDH1A3	ENSG00000184254.16	0.260	4.120	-2.023	3.69e-74
ALDH1B1	ENSG00000137124.6	10.555	3.290	1.429	2.00e-164
ALDH3A2	ENSG00000072210.18	41.665	17.421	1.212	2.31e-110
ALDH3B1	ENSG00000006534.15	5.020	1.370	1.345	4.68e-87
ALDH8A1	ENSG00000118514.13	0.750	3.070	-1.218	8.57e-94
ALDH9A1	ENSG00000143149.12	89.059	34.951	1.325	7.31e-137
ALG11	ENSG00000253710.2	4.085	1.170	1.229	2.11e-86
ALG5	ENSG00000120697.8	27.135	10.780	1.256	1.60e-160
ALKBH2	ENSG00000189046.10	37.971	11.060	1.692	8.45e-177
ALMS1	ENSG00000116127.17	10.425	3.810	1.248	2.54e-154
ALOX12-AS1	ENSG00000215067.9	14.480	6.000	1.145	1.18e-144
ALOX12P2	ENSG00000262943.7	0.350	2.130	-1.213	9.67e-104
ALOX5	ENSG00000012779.10	6.130	2.240	1.138	3.49e-32
ALOX5AP	ENSG00000132965.9	22.755	2.780	2.652	1.42e-77
ALS2CL	ENSG00000178038.16	1.145	12.210	-2.623	7.92e-203
ALYREF	ENSG00000183684.7	66.054	18.840	1.757	5.61e-192
AMER2	ENSG00000165566.12	31.625	12.590	1.263	6.82e-43
AMFR	ENSG00000159461.14	95.626	40.839	1.208	7.48e-155
AMH	ENSG00000104899.5	10.610	4.590	1.054	5.52e-21
AMMECR1L	ENSG00000144233.9	9.455	3.910	1.090	3.72e-140
AMOTL1	ENSG00000166025.17	11.835	3.080	1.653	2.28e-135
AMOTL2	ENSG00000114019.14	41.364	10.530	1.877	8.60e-96
AMPH	ENSG00000078053.16	11.930	38.980	-1.629	2.13e-34
AMY2A	ENSG00000243480.7	0.150	2.470	-1.593	1.11e-179
AMY2B	ENSG00000240038.6	9.270	34.049	-1.771	8.68e-90
ANGPTL2	ENSG00000136859.9	78.899	2.970	4.331	2.22e-226
ANK3	ENSG00000151150.20	17.030	45.270	-1.360	7.21e-33
ANKFN1	ENSG00000153930.10	3.805	0.410	1.769	9.24e-172
ANKFY1	ENSG00000185722.16	38.499	11.640	1.644	1.13e-149
ANKHD1-EIF4EBP3	ENSG00000254996.5	6.805	2.800	1.038	6.79e-108
ANKIB1	ENSG00000001629.9	31.600	8.840	1.728	1.67e-139
ANKRA2	ENSG00000164331.9	17.180	7.650	1.072	3.99e-97
ANKRD13A	ENSG00000076513.16	20.915	9.610	1.046	2.27e-90
ANKRD19P	ENSG00000187984.12	0.815	21.170	-3.611	4.96e-251
ANKRD2	ENSG00000165887.11	0.305	2.260	-1.321	7.83e-104
ANKRD20A5P	ENSG00000186481.15	0.200	3.570	-1.929	7.60e-148
ANKRD22	ENSG00000152766.5	1.690	0.090	1.303	2.02e-49
ANKRD24	ENSG00000089847.12	3.945	26.420	-2.471	1.38e-144
ANKRD29	ENSG00000154065.16	1.960	8.370	-1.662	4.77e-94
ANKRD30B	ENSG00000180777.13	0.020	1.900	-1.508	3.90e-226
ANKRD32	ENSG00000133302.12	2.470	6.040	-1.021	1.76e-62
ANKRD33B	ENSG00000164236.11	1.175	5.200	-1.511	3.05e-60
ANKRD34A	ENSG00000272031.2	1.300	14.390	-2.742	6.66e-117
ANKRD34C	ENSG00000235711.4	0.040	1.120	-1.027	1.35e-104
ANKRD34C-AS1	ENSG00000259234.5	0.070	1.700	-1.335	8.93e-69
ANKRD36BP2	ENSG00000230006.7	0.150	2.590	-1.642	3.16e-174
ANKRD44	ENSG00000065413.16	7.940	2.550	1.332	6.87e-100
ANKRD50	ENSG00000151458.11	4.295	1.620	1.015	1.44e-74
ANKRD6	ENSG00000135299.16	19.120	8.750	1.045	2.32e-70
ANKRD65	ENSG00000235098.8	4.655	17.579	-1.716	8.40e-69
ANKRD9	ENSG00000156381.8	4.965	17.560	-1.638	1.50e-97
ANLN	ENSG00000011426.10	20.604	9.470	1.045	6.66e-14
ANO3	ENSG00000134343.12	0.470	2.990	-1.441	7.46e-54
ANO4	ENSG00000151572.16	2.560	6.260	-1.028	4.76e-37
ANO6	ENSG00000177119.15	12.395	2.450	1.957	1.71e-123
ANOS1	ENSG00000011201.10	20.019	2.550	2.566	5.95e-138
ANP32A	ENSG00000140350.15	127.031	42.991	1.541	6.28e-172
ANP32B	ENSG00000136938.8	114.833	36.770	1.617	1.50e-137
ANTXR1	ENSG00000169604.19	58.879	7.580	2.803	1.50e-235
ANTXR2	ENSG00000163297.16	5.190	1.510	1.302	3.25e-64
ANXA2	ENSG00000182718.16	46.000	11.190	1.947	6.42e-54
ANXA3	ENSG00000138772.12	2.015	7.330	-1.466	2.72e-70
ANXA5	ENSG00000164111.14	195.821	48.640	1.987	2.28e-121
AOAH	ENSG00000136250.11	7.100	1.440	1.731	3.16e-108
AP000280.66	ENSG00000279690.1	1.450	0.140	1.104	2.50e-40
AP003391.1	ENSG00000281272.1	30.201	0.000	4.963	1.72e-59
AP005530.2	ENSG00000263305.1	2.100	0.230	1.334	1.03e-54
AP1G1	ENSG00000166747.12	29.676	13.690	1.062	1.67e-71
AP1G2	ENSG00000213983.11	16.950	94.989	-2.419	5.69e-151
AP3B1	ENSG00000132842.13	20.941	8.340	1.232	2.07e-134
AP3B2	ENSG00000103723.12	27.130	91.829	-1.722	2.28e-68
AP3M1	ENSG00000185009.12	20.035	5.770	1.636	8.09e-153
AP5M1	ENSG00000053770.11	15.140	5.390	1.337	4.56e-92
APBA1	ENSG00000107282.7	9.470	31.089	-1.616	2.83e-70
APBB1IP	ENSG00000077420.15	11.550	1.480	2.339	3.39e-100
APBB2	ENSG00000163697.16	32.455	10.650	1.522	1.49e-97
APC2	ENSG00000115266.11	71.754	34.961	1.017	4.49e-65
APCDD1	ENSG00000154856.12	74.873	19.050	1.920	7.76e-120
APEX1	ENSG00000100823.11	165.879	52.479	1.642	5.87e-192
APEX2	ENSG00000169188.4	8.240	3.350	1.087	7.69e-177
APH1A	ENSG00000117362.12	122.059	36.299	1.722	1.60e-232
APH1B	ENSG00000138613.13	14.705	5.260	1.327	2.49e-152
APLN	ENSG00000171388.11	18.989	6.320	1.449	1.06e-70
APLNR	ENSG00000134817.10	34.860	6.980	2.168	3.38e-45
APOBEC3C	ENSG00000244509.3	4.405	0.660	1.703	3.40e-100
APOBR	ENSG00000184730.10	1.935	0.320	1.153	2.24e-84
APOC1	ENSG00000130208.9	391.304	20.589	4.184	1.09e-225
APOC1P1	ENSG00000214855.9	3.055	0.110	1.869	1.29e-108
APOC2	ENSG00000234906.8	21.215	1.390	3.216	8.64e-108
APOC4-APOC2	ENSG00000224916.8	33.216	5.470	2.403	6.41e-81
APOE	ENSG00000130203.9	3160.308	460.066	2.777	1.34e-141
APOL4	ENSG00000100336.17	1.730	0.310	1.059	2.87e-19
APOL6	ENSG00000221963.5	3.210	0.740	1.275	9.23e-66
APOM	ENSG00000204444.10	11.795	2.370	1.925	2.02e-198
APPBP2	ENSG00000062725.9	16.410	7.460	1.041	1.26e-92
APPL1	ENSG00000157500.10	18.095	7.420	1.181	2.30e-111
APPL2	ENSG00000136044.11	54.566	18.970	1.476	3.24e-139
APRT	ENSG00000198931.10	74.261	32.500	1.168	6.25e-131
AQP1	ENSG00000240583.10	98.827	10.970	3.060	2.07e-60
AQP4	ENSG00000171885.13	261.741	78.672	1.721	6.34e-38
AQR	ENSG00000021776.10	13.120	5.180	1.192	4.70e-137
AR	ENSG00000169083.15	2.030	0.400	1.114	6.59e-56
ARAF	ENSG00000078061.12	32.059	12.500	1.292	7.60e-171
ARF4	ENSG00000168374.10	114.467	46.230	1.290	7.42e-142
ARF6	ENSG00000165527.6	18.785	8.080	1.124	1.02e-154
ARFGAP3	ENSG00000242247.10	22.330	9.450	1.159	1.06e-132
ARFIP1	ENSG00000164144.14	14.685	5.350	1.305	1.39e-171
ARHGAP12	ENSG00000165322.17	43.471	11.510	1.830	3.32e-164
ARHGAP15	ENSG00000075884.12	2.625	0.780	1.026	5.86e-59
ARHGAP19	ENSG00000213390.10	6.520	2.140	1.260	6.49e-155
ARHGAP30	ENSG00000186517.13	4.230	0.640	1.673	4.36e-112
ARHGAP31	ENSG00000031081.10	18.185	2.690	2.378	2.47e-181
ARHGAP36	ENSG00000147256.10	4.335	0.840	1.536	4.11e-51
ARHGAP42	ENSG00000165895.17	4.280	0.970	1.422	7.55e-101
ARHGAP44	ENSG00000006740.16	4.105	22.110	-2.179	1.74e-77
ARHGAP6	ENSG00000047648.21	3.160	0.980	1.071	3.51e-55
ARHGDIB	ENSG00000111348.8	68.119	14.440	2.162	1.01e-138
ARHGDIG	ENSG00000242173.8	25.359	187.922	-2.841	3.11e-96
ARHGEF10L	ENSG00000074964.16	41.984	15.899	1.347	1.74e-91
ARHGEF25	ENSG00000240771.6	39.919	89.040	-1.138	2.77e-37
ARHGEF26	ENSG00000114790.12	27.485	7.930	1.673	1.11e-124
ARHGEF26-AS1	ENSG00000243069.7	24.506	10.360	1.167	1.82e-50
ARHGEF28	ENSG00000214944.9	0.655	2.840	-1.214	4.67e-72
ARHGEF33	ENSG00000214694.10	0.580	2.950	-1.322	4.37e-144
ARHGEF40	ENSG00000165801.9	44.249	11.950	1.805	2.47e-185
ARHGEF6	ENSG00000129675.15	50.115	8.580	2.416	1.04e-180
ARID1A	ENSG00000117713.17	27.475	12.490	1.078	2.47e-85
ARID2	ENSG00000189079.15	6.390	2.330	1.150	2.11e-139
ARL13B	ENSG00000169379.15	5.770	1.980	1.184	3.06e-115
ARL2BP	ENSG00000102931.7	58.681	27.751	1.054	2.78e-97
ARL5A	ENSG00000162980.16	22.770	7.170	1.541	2.56e-125
ARL6IP6	ENSG00000177917.10	22.610	5.920	1.771	4.03e-178
ARMCX6	ENSG00000198960.10	41.914	13.400	1.575	1.25e-185
ARPC1B	ENSG00000130429.12	50.084	12.410	1.930	6.72e-102
ARPC5	ENSG00000162704.15	75.685	29.349	1.337	4.22e-128
ARPIN	ENSG00000242498.7	12.350	4.720	1.223	3.47e-159
ARPP21	ENSG00000172995.16	28.884	71.689	-1.282	5.74e-37
ARRDC3	ENSG00000113369.8	16.480	6.080	1.304	5.76e-70
ARRDC4	ENSG00000140450.8	14.505	5.190	1.325	7.08e-67
ARSB	ENSG00000113273.15	6.280	2.100	1.232	2.11e-142
ART3	ENSG00000156219.16	1.920	5.800	-1.220	1.13e-37
ARX	ENSG00000004848.6	1.000	5.740	-1.753	3.20e-70
ASAH1	ENSG00000104763.17	134.885	53.389	1.321	2.03e-139
ASAP3	ENSG00000088280.18	23.424	9.230	1.256	6.66e-51
ASB2	ENSG00000100628.11	0.350	4.220	-1.951	6.59e-130
ASCC1	ENSG00000138303.17	44.804	12.170	1.798	4.94e-175
ASCC2	ENSG00000100325.14	32.780	11.840	1.396	7.68e-166
ASCC3	ENSG00000112249.13	12.960	4.280	1.403	4.09e-154
ASCL1	ENSG00000139352.3	40.040	7.430	2.283	1.67e-125
ASF1A	ENSG00000111875.7	23.920	8.270	1.427	2.76e-146
ASF1B	ENSG00000105011.8	1.920	0.110	1.395	1.49e-73
ASIC1	ENSG00000110881.11	52.269	18.270	1.467	1.72e-75
ASIC2	ENSG00000108684.14	1.280	6.790	-1.773	7.97e-64
ASIC4	ENSG00000072182.12	41.300	5.520	2.698	1.50e-76
ASMTL-AS1	ENSG00000236017.7	4.870	13.230	-1.278	7.27e-47
ASPDH	ENSG00000204653.9	8.075	45.619	-2.361	1.72e-95
ASPHD1	ENSG00000174939.10	32.535	81.627	-1.301	3.25e-46
ASS1	ENSG00000130707.17	11.455	52.450	-2.101	8.92e-76
ASTN2	ENSG00000148219.16	42.175	11.170	1.827	2.91e-150
ASUN	ENSG00000064102.14	14.995	6.580	1.077	9.09e-115
ASXL2	ENSG00000143970.16	4.555	1.560	1.118	2.86e-98
ATAD1	ENSG00000138138.13	26.219	12.290	1.034	9.95e-58
